Work Attribute Category,General Work Attribute,Specific Work Attribute,Work Attribute Question
Activity,Information Input,"Estimating the Quantifiable Characteristics of Products, Events, or Information","How important is each Information Input to this position? [Estimating the Quantifiable Characteristics of Products, Events, or Information]"
Activity,Information Input,"Inspecting Equipment, Structures, or Materials","How important is each Information Input to this position? [Inspecting Equipment, Structures, or Materials]"
Activity,Information Input,"Monitoring Processes, Materials, or Surroundings","How important is each Information Input to this position? [Monitoring Processes, Materials, or Surroundings]"
Activity,Interacting With Others,Monitoring and Controlling Resources,How important is Interacting With Others to this position? [Monitoring and Controlling Resources]
Activity,Interacting With Others,Performing Administrative Activities,How important is Interacting With Others to this position? [Performing Administrative Activities]
Activity,Interacting With Others,Staffing Organizational Units,How important is Interacting With Others to this position? [Staffing Organizational Units]
Activity,Interacting With Others,Communicating with People Outside the Organization,How important is Interacting With Others to this position? [Communicating with People Outside the Organization]
Activity,Interacting With Others,"Communicating with Supervisors, Peers, or Subordinates","How important is Interacting With Others to this position? [Communicating with Supervisors, Peers, or Subordinates]"
Activity,Interacting With Others,Establishing and Maintaining Interpersonal Relationships,How important is Interacting With Others to this position? [Establishing and Maintaining Interpersonal Relationships]
Activity,Interacting With Others,Interpreting the Meaning of Information for Others,How important is Interacting With Others to this position? [Interpreting the Meaning of Information for Others]
Activity,Interacting With Others,Resolving Conflicts and Negotiating with Others,How important is Interacting With Others to this position? [Resolving Conflicts and Negotiating with Others]
Activity,Interacting With Others,Selling or Influencing Others,How important is Interacting With Others to this position? [Selling or Influencing Others]
Activity,Interacting With Others,Coaching and Developing Others,How important is Interacting With Others to this position? [Coaching and Developing Others]
Activity,Interacting With Others,Developing and Building Teams,How important is Interacting With Others to this position? [Developing and Building Teams]
Activity,Interacting With Others,"Guiding, Directing, and Motivating Subordinates","How important is Interacting With Others to this position? [Guiding, Directing, and Motivating Subordinates]"
Activity,Interacting With Others,Providing Consultation and Advice to Others,How important is Interacting With Others to this position? [Providing Consultation and Advice to Others]
Activity,Mental Processes,Analyzing Data or Information,How important are Mental Processes to this position? [Analyzing Data or Information]
Activity,Mental Processes,Evaluating Information to Determine Compliance with Standards,How important are Mental Processes to this position? [Evaluating Information to Determine Compliance with Standards]
Activity,Mental Processes,"Judging the Qualities of Objects, Services, or People","How important are Mental Processes to this position? [Judging the Qualities of Objects, Services, or People]"
Activity,Mental Processes,Processing Information,How important are Mental Processes to this position? [Processing Information]
Activity,Mental Processes,Developing Objectives and Strategies,How important are Mental Processes to this position? [Developing Objectives and Strategies]
Activity,Mental Processes,Making Decisions and Solving Problems,How important are Mental Processes to this position? [Making Decisions and Solving Problems]
Activity,Mental Processes,"Organizing, Planning, and Prioritizing Work","How important are Mental Processes to this position? [Organizing, Planning, and Prioritizing Work]"
Activity,Mental Processes,Scheduling Work and Activities,How important are Mental Processes to this position? [Scheduling Work and Activities]
Activity,Mental Processes,Thinking Creatively,How important are Mental Processes to this position? [Thinking Creatively]
Activity,Mental Processes,Updating and Using Relevant Knowledge,How important are Mental Processes to this position? [Updating and Using Relevant Knowledge]
Activity,Work Output,Documenting/Recording Information,How important is Work Output to this position? [Documenting/Recording Information]
Activity,Work Output,Repairing and Maintaining Electronic Equipment,How important is Work Output to this position? [Repairing and Maintaining Electronic Equipment]
Activity,Work Output,Repairing and Maintaining Mechanical Equipment,How important is Work Output to this position? [Repairing and Maintaining Mechanical Equipment]
Activity,Work Output,Controlling Machines and Processes,How important is Work Output to this position? [Controlling Machines and Processes]
Activity,Work Output,"Operating Vehicles, Mechanized Devices, or Equipment","How important is Work Output to this position? [Operating Vehicles, Mechanized Devices, or Equipment]"
Activity,Work Output,Performing General Physical Activities,How important is Work Output to this position? [Performing General Physical Activities]
Context,Interactions,Coordinate or lead others in accomplishing work activities (not as a supervisor or team leader),How important are interactions requiring the employee to: [Coordinate or lead others in accomplishing work activities (not as a supervisor or team leader)]
Context,Interactions,Deal with external customers or the public in general,How important are interactions requiring the employee to: [Deal with external customers or the public in general]
Context,Interactions,Work with or contribute to a work group or team,How important are interactions requiring the employee to: [Work with or contribute to a work group or team]
Context,Knowledge Of Specific Niches,Knowledge Of Specific Niches,How important is knowledge of specific niches for this position?
Context,Meeting Strict Deadlines,Meeting Strict Deadlines,How important is meeting strict deadlines in this position?
Context,People Skills,People Skills,How important are people skills for this position?
Context,Physical Strength Or Dexterity,Physical Strength Or Dexterity,How important is physical strength or dexterity for this position?
Context,Repeating Physical Or Mental Activities,Repeating Physical Or Mental Activities,"How important is repeating the same physical activities (e.g., key entry) or mental activities (e.g., checking entries in a ledger) over and over, without stopping, to performing this position?.1"
Knowledge Area,Arts And Humanities,English Language,How important is each Arts and Humanities knowledge area to this position? [English Language]
Knowledge Area,Arts And Humanities,Fine Arts,How important is each Arts and Humanities knowledge area to this position? [Fine Arts]
Knowledge Area,Arts And Humanities,Foreign Language,How important is each Arts and Humanities knowledge area to this position? [Foreign Language]
Knowledge Area,Arts And Humanities,History and Archeology,How important is each Arts and Humanities knowledge area to this position? [History and Archeology]
Knowledge Area,Arts And Humanities,Philosophy and Theology,How important is each Arts and Humanities knowledge area to this position? [Philosophy and Theology]
Knowledge Area,Business And Management,Administration and Management,How important is each Business and Management knowledge area to this position? [Administration and Management]
Knowledge Area,Business And Management,Administrative,How important is each Business and Management knowledge area to this position? [Administrative]
Knowledge Area,Business And Management,Customer and Personal Service,How important is each Business and Management knowledge area to this position? [Customer and Personal Service]
Knowledge Area,Business And Management,Economics and Accounting,How important is each Business and Management knowledge area to this position? [Economics and Accounting]
Knowledge Area,Business And Management,Personnel and Human Resources,How important is each Business and Management knowledge area to this position? [Personnel and Human Resources]
Knowledge Area,Business And Management,Sales and Marketing,How important is each Business and Management knowledge area to this position? [Sales and Marketing]
Knowledge Area,Communications,Communications and Media,How important is each Communications knowledge area to this position? [Communications and Media]
Knowledge Area,Communications,Telecommunications,How important is each Communications knowledge area to this position? [Telecommunications]
Knowledge Area,Communications,Education and Training,How important is each Communications knowledge area to this position? [Education and Training]
Knowledge Area,Engineering And Technology,Building and Construction,How important is each Engineering and Technology knowledge area to this position? [Building and Construction]
Knowledge Area,Engineering And Technology,Computers and Electronics,How important is each Engineering and Technology knowledge area to this position? [Computers and Electronics]
Knowledge Area,Engineering And Technology,Design,How important is each Engineering and Technology knowledge area to this position? [Design]
Knowledge Area,Engineering And Technology,Engineering and Technology,How important is each Engineering and Technology knowledge area to this position? [Engineering and Technology]
Knowledge Area,Engineering And Technology,Mechanical,How important is each Engineering and Technology knowledge area to this position? [Mechanical]
Knowledge Area,Health Services,Health Services,How important is each Health Services knowledge area to this position? [Health Services]
Knowledge Area,Health Services,Medicine and Dentistry,How important is each Health Services knowledge area to this position? [Medicine and Dentistry]
Knowledge Area,Health Services,Therapy and Counseling,How important is each Health Services knowledge area to this position? [Therapy and Counseling]
Knowledge Area,Law And Public Safety,Law and Government,How important is each Law and Public Safety knowledge area to this position? [Law and Government]
Knowledge Area,Law And Public Safety,Public Safety and Security,How important is each Law and Public Safety knowledge area to this position? [Public Safety and Security]
Knowledge Area,Manufacturing And Production,Food Production,How important is each Manufacturing and Production knowledge area to this position? [Food Production]
Knowledge Area,Manufacturing And Production,Production and Processing,How important is each Manufacturing and Production knowledge area to this position? [Production and Processing]
Knowledge Area,Mathematics And Science,Biology,How important is each Mathematics and Science knowledge area to this position? [Biology]
Knowledge Area,Mathematics And Science,Chemistry,How important is each Mathematics and Science knowledge area to this position? [Chemistry]
Knowledge Area,Mathematics And Science,Geography,How important is each Mathematics and Science knowledge area to this position? [Geography]
Knowledge Area,Mathematics And Science,Mathematics,How important is each Mathematics and Science knowledge area to this position? [Mathematics]
Knowledge Area,Mathematics And Science,Physics,How important is each Mathematics and Science knowledge area to this position? [Physics]
Knowledge Area,Mathematics And Science,Psychology,How important is each Mathematics and Science knowledge area to this position? [Psychology]
Knowledge Area,Mathematics And Science,Sociology and Anthropology,How important is each Mathematics and Science knowledge area to this position? [Sociology and Anthropology]
Knowledge Area,Mathematics And Science,Transportation,How important is each Mathematics and Science knowledge area to this position? [Transportation]
Skill,Content Skill,Active Listening,How important is each Content skill to this position? [Active Listening]
Skill,Content Skill,Mathematics,How important is each Content skill to this position? [Mathematics]
Skill,Content Skill,Speaking,How important is each Content skill to this position? [Speaking]
Skill,Content Skill,Writing,How important is each Content skill to this position? [Writing]
Skill,Process Skill,Critical Thinking,How important is each Process skill to this position? [Critical Thinking]
Skill,Process Skill,Monitoring,How important is each Process skill to this position? [Monitoring]
Skill,Process Skill,Complex Problem Solving,How important is each Process skill to this position? [Complex Problem Solving]
Skill,Resource Management Skill,Management of Financial Resources,How important is each Resource Management skill to this position? [Management of Financial Resources]
Skill,Resource Management Skill,Management of Material Resources,How important is each Resource Management skill to this position? [Management of Material Resources]
Skill,Resource Management Skill,Management of Personnel Resources,How important is each Resource Management skill to this position? [Management of Personnel Resources]
Skill,Resource Management Skill,Time Management,How important is each Resource Management skill to this position? [Time Management]
Skill,Social Skill,Coordination,How important is each Social skill to this position? [Coordination]
Skill,Social Skill,Instructing,How important is each Social skill to this position? [Instructing]
Skill,Social Skill,Negotiation,How important is each Social skill to this position? [Negotiation]
Skill,Social Skill,Persuasion,How important is each Social skill to this position? [Persuasion]
Skill,Social Skill,Service Orientation,How important is each Social skill to this position? [Service Orientation]
Skill,Social Skill,Social Perceptiveness,How important is each Social skill to this position? [Social Perceptiveness]
Skill,System Skill,Judgment and Decision Making,How important is each System skill to this position? [Judgment and Decision Making]
Skill,System Skill,Systems Analysis,How important is each System skill to this position? [Systems Analysis]
Skill,Technical Skill,Equipment Selection,How important is each Technical skill to this position? [Equipment Selection]
Skill,Technical Skill,Installation,How important is each Technical skill to this position? [Installation]
Skill,Technical Skill,Operation and Control,How important is each Technical skill to this position? [Operation and Control]
Skill,Technical Skill,Programming,How important is each Technical skill to this position? [Programming]
Skill,Technical Skill,Quality Control Analysis,How important is each Technical skill to this position? [Quality Control Analysis]
Skill,Technical Skill,Technology Design,How important is each Technical skill to this position? [Technology Design]
Skill,Technical Skill,Troubleshooting,How important is each Technical skill to this position? [Troubleshooting]
Skill,Technical Skill,Equipment Maintenance,How important is each Technical skill to this position? [Equipment Maintenance]
Style,Achievement Orientation,Achievement/Effort,How important is Achievement Orientation to this position? [Achievement/Effort]
Style,Achievement Orientation,Initiative,How important is Achievement Orientation to this position? [Initiative]
Style,Achievement Orientation,Persistence,How important is Achievement Orientation to this position? [Persistence]
Style,Adjustment,Adaptability/Flexibility,How important is Adjustment to this position? [Adaptability/Flexibility]
Style,Adjustment,Self-Control,How important is Adjustment to this position? [Self-Control]
Style,Adjustment,Stress Tolerance,How important is Adjustment to this position? [Stress Tolerance]
Style,Conscientiousness,Attention to Detail,How important is Conscientiousness to this position? [Attention to Detail]
Style,Conscientiousness,Dependability,How important is Conscientiousness to this position? [Dependability]
Style,Conscientiousness,Integrity,How important is Conscientiousness to this position? [Integrity]
Style,Conscientiousness,Independence,How important is Conscientiousness to this position? [Independence]
Style,Influence,Social Influence,How important is Influence to this position? [Social Influence]
Style,Influence,Leadership,How important is Influence to this position? [Leadership]
Style,Interpersonal Orientation,Concern for Others,How important is Interpersonal Orientation to this position? [Concern for Others]
Style,Interpersonal Orientation,Cooperation,How important is Interpersonal Orientation to this position? [Cooperation]
Style,Interpersonal Orientation,Social Orientation,How important is Interpersonal Orientation to this position? [Social Orientation]
Style,Practical Intelligence,Analytical Thinking,How important is Practical Intelligence to this position? [Analytical Thinking]
Style,Practical Intelligence,Innovation,How important is Practical Intelligence to this position? [Innovation]